dataset,pressure,threshold_mmhg,estimand,percent,sd,n,ci95_lower,ci95_upper
vitaldb_old,dbp,15,segment_weighted,73.819148936170208,43.961894226210738,9400,,
vitaldb_old,dbp,15,cluster_equal,73.819148936170208,19.034661980778615,94,69.765957446808514,77.553191489361708
vitaldb_old,map,5,segment_weighted,21.670212765957448,41.199795573204973,9400,,
vitaldb_old,map,5,cluster_equal,21.670212765957448,13.751896037840808,94,18.872340425531913,24.531914893617021
vitaldb_old,map,10,segment_weighted,42.617021276595743,49.451912249879271,9400,,
vitaldb_old,map,10,cluster_equal,42.617021276595743,21.272350640338381,94,38.223404255319146,46.957712765957446
vitaldb_old,map,15,segment_weighted,59.872340425531917,49.015680088339167,9400,,
vitaldb_old,map,15,cluster_equal,59.872340425531917,22.748969601427305,94,55.106117021276596,64.425531914893611
holdout_A,sbp,5,segment_weighted,10.947916666666666,31.223945736027481,9600,,
holdout_A,sbp,5,cluster_equal,10.947916666666666,7.3489933999872097,96,9.5,12.4375
holdout_A,sbp,10,segment_weighted,21.645833333333332,41.183021169395637,9600,,
holdout_A,sbp,10,cluster_equal,21.645833333333332,12.310208472600653,96,19.239583333333332,24.146093749999995
holdout_A,sbp,15,segment_weighted,31.916666666666668,46.615373596653228,9600,,
holdout_A,sbp,15,cluster_equal,31.916666666666668,16.019302592670993,96,28.770833333333332,35.166927083333327
holdout_A,dbp,5,segment_weighted,27.125,44.46048104777995,9600,,
holdout_A,dbp,5,cluster_equal,27.125,15.247438309434147,96,24.0625,30.239583333333332
holdout_A,dbp,10,segment_weighted,49.541666666666664,49.997899261424529,9600,,
holdout_A,dbp,10,cluster_equal,49.541666666666664,21.738941952685327,96,45.135156250000001,53.906510416666663
holdout_A,dbp,15,segment_weighted,67.958333333333329,46.66367177889979,9600,,
holdout_A,dbp,15,cluster_equal,67.958333333333329,20.798095198572607,96,63.728906250000001,72
holdout_A,map,5,segment_weighted,20.75,40.551664577425178,9600,,
holdout_A,map,5,cluster_equal,20.75,11.778334630441888,96,18.416666666666668,23.229427083333331
holdout_A,map,10,segment_weighted,40.927083333333336,49.169931697732935,9600,,
holdout_A,map,10,cluster_equal,40.927083333333336,18.950178534595803,96,37.166406250000001,44.833333333333336
holdout_A,map,15,segment_weighted,58.3125,49.304181807935926,9600,,
holdout_A,map,15,cluster_equal,58.3125,20.685296962254778,96,54.09375,62.479427083333327
holdout_B,sbp,5,segment_weighted,0.61458333333333337,7.8154091805690014,9600,,
holdout_B,sbp,5,cluster_equal,0.61458333333333337,1.5300448772467066,96,0.35416666666666669,0.95833333333333337
holdout_B,sbp,10,segment_weighted,1.1354166666666667,10.594927827018088,9600,,
holdout_B,sbp,10,cluster_equal,1.1354166666666667,2.5315500508033062,96,0.69791666666666663,1.6875
holdout_B,sbp,15,segment_weighted,1.6458333333333333,12.722993593184828,9600,,
holdout_B,sbp,15,cluster_equal,1.6458333333333333,3.6457142837705878,96,1,2.4479166666666665
holdout_B,dbp,5,segment_weighted,10.8125,31.053821725352904,9600,,
holdout_B,dbp,5,cluster_equal,10.8125,10.574450832864404,96,8.7395833333333339,13.052083333333334
holdout_B,dbp,10,segment_weighted,22.28125,41.613350002583303,9600,,
holdout_B,dbp,10,cluster_equal,22.28125,19.000933707869024,96,18.53125,26.197916666666668
holdout_B,dbp,15,segment_weighted,33.4375,47.177151183067423,9600,,
holdout_B,dbp,15,cluster_equal,33.4375,24.535608689209241,96,28.520833333333332,38.489843749999999
holdout_B,map,5,segment_weighted,0.39583333333333331,6.2790643654572893,9600,,
holdout_B,map,5,cluster_equal,0.39583333333333331,1.0356073768030474,96,0.20833333333333334,0.61458333333333337
holdout_B,map,10,segment_weighted,1,9.9498743710661994,9600,,
holdout_B,map,10,cluster_equal,1,1.8484227510682361,96,0.67708333333333337,1.3854166666666667
holdout_B,map,15,segment_weighted,1.6458333333333333,12.72299359318483,9600,,
holdout_B,map,15,cluster_equal,1.6458333333333333,2.5371373577759289,96,1.1770833333333333,2.1875
holdout_C,sbp,5,segment_weighted,11.166666666666666,31.495590520297004,9600,,
holdout_C,sbp,5,cluster_equal,11.166666666666666,6.6390051128831713,96,9.84375,12.500260416666663
holdout_C,sbp,10,segment_weighted,22.15625,41.529815626095669,9600,,
holdout_C,sbp,10,cluster_equal,22.15625,11.558121355602447,96,19.864322916666666,24.437760416666663
holdout_C,sbp,15,segment_weighted,33.385416666666664,47.158833962044937,9600,,
holdout_C,sbp,15,cluster_equal,33.385416666666664,14.907611165432314,96,30.375,36.375
holdout_C,dbp,5,segment_weighted,27.302083333333332,44.551145652980189,9600,,
holdout_C,dbp,5,cluster_equal,27.302083333333332,13.766747219043996,96,24.541666666666668,30.083333333333332
holdout_C,dbp,10,segment_weighted,51.520833333333336,49.976865307582294,9600,,
holdout_C,dbp,10,cluster_equal,51.520833333333336,19.699291001765069,96,47.551822916666666,55.395833333333336
holdout_C,dbp,15,segment_weighted,71.395833333333329,45.1909096608181,9600,,
holdout_C,dbp,15,cluster_equal,71.395833333333329,18.495201611198752,96,67.625,74.989583333333329
holdout_C,map,5,segment_weighted,20.791666666666668,40.581686311548076,9600,,
holdout_C,map,5,cluster_equal,20.791666666666668,10.642795554844705,96,18.6875,22.9375
holdout_C,map,10,segment_weighted,40.572916666666664,49.103259564171388,9600,,
holdout_C,map,10,cluster_equal,40.572916666666664,16.392163264592494,96,37.270572916666666,43.916666666666664
holdout_C,map,15,segment_weighted,59.145833333333336,49.156421072316569,9600,,
holdout_C,map,15,cluster_equal,59.145833333333336,18.803246155178158,96,55.270572916666666,62.90625
